,FIPS,State,County,MedianRUCA,madRUCA,PopwtdmedianRUCA,AreawtdmedianRUCA,Population_2010,RUCC_2013,Description,AgeDist,AirPollution,Comorbidities,Demographics,HealthDisparities,HospitalBeds,Mobility,ResidentialDensity
0,1003,AL,Baldwin County,3.0,2.0,0.07400000000000001,0.032,"182,265",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.6095051758860066,0.43712574850299396,0.3250430187222149,0.53415795872299,0.2086331619831746,0.5128071301206647,0.5920754598603568,0.3359
1,1073,AL,Jefferson County,1.0,0.0,0.006,0.002,"658,466",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.5117241638959221,0.6227544910179641,0.4236007532841421,0.5905968650968513,0.3563507944914679,0.3368613838816678,0.7131715760532503,0.6211
2,1081,AL,Lee County,1.0,0.0,0.037000000000000005,0.009000000000000001,"140,247",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.3995047625702956,0.5449101796407185,0.2963918678437203,0.5551987280383301,0.3518844562636719,0.4845114810686935,0.6292396702125137,0.9214
3,1089,AL,Madison County,1.0,0.0,0.012,0.003,"334,811",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.4939129750014257,0.5149700598802395,0.370959371034868,0.6346671043808639,0.2263406030977934,0.4304536913135884,0.6752706638204405,0.3836
4,1097,AL,Mobile County,1.0,0.0,0.008,0.001,"412,992",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.5191044408593759,0.4670658682634731,0.4579982025513245,0.6842760495622291,0.4678370046721896,0.3907131052731322,0.6704170537884879,0.723
5,1101,AL,Montgomery County,1.0,0.0,0.016,0.003,"229,363",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.49129758316188105,0.532934131736527,0.4614068876921968,0.6342865860157479,0.4635237601846182,0.3876645735375624,0.6824234818292259,0.7463
6,1117,AL,Shelby County,1.0,0.0,0.023,0.009000000000000001,"195,085",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.4939129750014257,0.5389221556886228,0.313473726613206,0.5070940498336849,0.0941261509282648,0.5455052210943652,0.6273675762855759,0.1764
7,1125,AL,Tuscaloosa County,1.0,0.0,0.021,0.003,"194,656",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.4437744133187831,0.4970059880239522,0.3860985791869958,0.5765381669303161,0.3753562199842618,0.4010567418661029,0.6387607411293372,0.809
8,2020,AK,Anchorage Municipality,1.0,0.0,0.018000000000000002,0.001,"291,826",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.3606106398115555,0.0,0.2811994770152286,0.7185197689240339,0.1847629450032118,0.4468049059401152,0.6681951130401846,0.8176
9,4005,AZ,Coconino County,1.0,0.0,0.052000000000000005,0.001,"134,421",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.4159255598121659,0.155688622754491,0.2458396824385494,0.6868968234167828,0.4528964528626059,0.4699051246315641,0.4990707842492519,0.9713
10,4013,AZ,Maricopa County,1.0,0.0,0.001,0.0,"3,817,117",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.4990893333193935,0.4550898203592814,0.2254291983441799,0.6107802475859518,0.3222160698319449,0.4806606481603755,0.7290967847844378,0.7259
11,4015,AZ,Mohave County,4.0,0.0,0.076,0.001,"200,186",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.7548404166639682,0.1257485029940119,0.4190401625847951,0.4646657775656883,0.4917723858641599,0.4520863042818844,0.5035481037219532,0.851
12,4019,AZ,Pima County,1.0,0.0,0.004,0.0,"980,263",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.5938927650957907,0.2934131736526946,0.2328318841983226,0.6065804571993366,0.4074901262969153,0.4744079780322429,0.7030431888558037,0.9825
